classe_real,arquivo,predito,score_vencedor,93000005_Meio_das_Asas_Congelado,93000006_Coxinhas_das_Asas_Congelado,93000025_File_de_Peito_Congelado,93000064_Coracao,93000068_Moela_Congelada,93000096_File_de_Coxas_e_Sobre_Coxas_com_Pele_Congelado,93000106_Coxas_e_Sobrecoxas_Congelado
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_32_04.341492.jpg,93000005_Meio_das_Asas_Congelado,0.1275,0.1275,0.0621,0.0357,0.0247,0.0909,0.0162,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_33_30.592095.jpg,93000005_Meio_das_Asas_Congelado,0.1814,0.1814,0.0683,0.0536,0.037,0.0779,0.0162,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_34_14.881712.jpg,93000005_Meio_das_Asas_Congelado,0.1225,0.1225,0.0373,0.0357,0.037,0.0519,0.013,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_34_38.410164.jpg,93000005_Meio_das_Asas_Congelado,0.1324,0.1324,0.0435,0.0,0.037,0.0649,0.0065,0.0144
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_35_03.338969.jpg,93000005_Meio_das_Asas_Congelado,0.1324,0.1324,0.0559,0.0357,0.037,0.0909,0.0065,0.0144
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_37_19.112891.jpg,93000005_Meio_das_Asas_Congelado,0.1176,0.1176,0.0435,0.0536,0.0,0.1039,0.013,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_37_48.538644.jpg,93000005_Meio_das_Asas_Congelado,0.1422,0.1422,0.0435,0.0446,0.0,0.0649,0.0195,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_38_04.302652.jpg,93000005_Meio_das_Asas_Congelado,0.1912,0.1912,0.0,0.0536,0.037,0.1169,0.0162,0.0385
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_39_15.621332.jpg,93000005_Meio_das_Asas_Congelado,0.1716,0.1716,0.0435,0.0357,0.0,0.0649,0.0227,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_39_35.050279.jpg,93000005_Meio_das_Asas_Congelado,0.0882,0.0882,0.0186,0.0,0.037,0.0,0.013,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_42_00.286432.jpg,93000005_Meio_das_Asas_Congelado,0.1275,0.1275,0.0559,0.0536,0.0247,0.1169,0.0065,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_42_16.850867.jpg,93000005_Meio_das_Asas_Congelado,0.1471,0.1471,0.0248,0.0357,0.0617,0.1039,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_42_18.717599.jpg,93000005_Meio_das_Asas_Congelado,0.1422,0.1422,0.0435,0.0446,0.0247,0.0649,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_42_26.249271.jpg,93000005_Meio_das_Asas_Congelado,0.1422,0.1422,0.0745,0.0446,0.0494,0.1169,0.0227,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_45_24.881868.jpg,93000005_Meio_das_Asas_Congelado,0.1127,0.1127,0.0248,0.0268,0.037,0.0779,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_45_41.243358.jpg,unknown,0.0392,0.0392,0.0186,0.0,0.037,0.0,0.0,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_45_46.542879.jpg,93000005_Meio_das_Asas_Congelado,0.1814,0.1814,0.0683,0.0357,0.0,0.0779,0.013,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_48_04.747700.jpg,unknown,0.0649,0.0441,0.0,0.0268,0.0,0.0649,0.0065,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_48_12.646620.jpg,93000005_Meio_das_Asas_Congelado,0.2059,0.2059,0.0745,0.0536,0.037,0.1039,0.0162,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_48_30.377548.jpg,93000005_Meio_das_Asas_Congelado,0.1176,0.1176,0.0435,0.0357,0.037,0.0649,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_49_05.568508.jpg,93000068_Moela_Congelada,0.1039,0.0931,0.0311,0.0446,0.037,0.1039,0.0097,0.0337
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_49_35.730004.jpg,93000005_Meio_das_Asas_Congelado,0.1422,0.1422,0.0621,0.0357,0.037,0.0909,0.0097,0.0385
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_49_58.658233.jpg,93000005_Meio_das_Asas_Congelado,0.1765,0.1765,0.0373,0.0268,0.0,0.0909,0.0227,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_50_55.614161.jpg,93000005_Meio_das_Asas_Congelado,0.1912,0.1912,0.1056,0.0357,0.0,0.1429,0.013,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_51_29.973385.jpg,93000005_Meio_das_Asas_Congelado,0.1275,0.1275,0.0373,0.0357,0.0494,0.0779,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_53_32.681478.jpg,93000005_Meio_das_Asas_Congelado,0.1569,0.1569,0.0435,0.0357,0.0,0.0779,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_53_44.581098.jpg,93000005_Meio_das_Asas_Congelado,0.152,0.152,0.0559,0.0357,0.0,0.1039,0.0097,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_54_11.042399.jpg,93000005_Meio_das_Asas_Congelado,0.152,0.152,0.0559,0.0268,0.037,0.1169,0.0162,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_56_09.884237.jpg,93000005_Meio_das_Asas_Congelado,0.1324,0.1324,0.0186,0.0357,0.037,0.0779,0.013,0.0337
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_56_31.213458.jpg,93000005_Meio_das_Asas_Congelado,0.2108,0.2108,0.0807,0.0536,0.037,0.1429,0.0227,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_57_15.471923.jpg,93000005_Meio_das_Asas_Congelado,0.1863,0.1863,0.0435,0.0446,0.0,0.0909,0.0162,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_57_44.899656.jpg,93000005_Meio_das_Asas_Congelado,0.2549,0.2549,0.0435,0.0446,0.037,0.1169,0.026,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_58_30.257235.jpg,93000005_Meio_das_Asas_Congelado,0.1814,0.1814,0.0745,0.0446,0.037,0.1039,0.0162,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_59_39.842917.jpg,93000005_Meio_das_Asas_Congelado,0.1961,0.1961,0.0497,0.0268,0.0494,0.0909,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_00_06.536180.jpg,93000005_Meio_das_Asas_Congelado,0.1569,0.1569,0.0621,0.0446,0.037,0.0649,0.0162,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_05_00.213106.jpg,93000006_Coxinhas_das_Asas_Congelado,0.118,0.049,0.118,0.0,0.037,0.0,0.013,0.0337
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_05_09.215667.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.0686,0.1056,0.0357,0.0494,0.0,0.013,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_05_21.344351.jpg,93000006_Coxinhas_das_Asas_Congelado,0.118,0.0441,0.118,0.0357,0.0494,0.0,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_05_29.106791.jpg,93000005_Meio_das_Asas_Congelado,0.098,0.098,0.0435,0.0,0.0617,0.0,0.0097,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_13_16.613934.jpg,unknown,0.0373,0.0196,0.0373,0.0268,0.0,0.0,0.0097,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_13_43.406180.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0932,0.049,0.0932,0.0,0.037,0.0,0.0195,0.0144
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_14_14.835460.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0932,0.0147,0.0932,0.0,0.0,0.0,0.013,0.0144
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_14_29.033359.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0807,0.0147,0.0807,0.0,0.0,0.0,0.0162,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_15_31.718223.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1615,0.0784,0.1615,0.0,0.037,0.0,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_15_55.481865.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1739,0.0686,0.1739,0.0,0.0617,0.0,0.0097,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_16_17.541980.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1429,0.0441,0.1429,0.0357,0.0494,0.039,0.0097,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_16_43.209728.jpg,unknown,0.0686,0.0686,0.0435,0.0536,0.037,0.0,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_16_59.103244.jpg,unknown,0.0497,0.0196,0.0497,0.0268,0.0247,0.0,0.013,0.0337
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_17_25.728206.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0994,0.0147,0.0994,0.0,0.0494,0.0,0.0162,0.0144
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_17_43.693351.jpg,93000006_Coxinhas_das_Asas_Congelado,0.2422,0.0441,0.2422,0.0,0.0617,0.0,0.0097,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_17_59.955516.jpg,93000006_Coxinhas_das_Asas_Congelado,0.2422,0.0539,0.2422,0.0268,0.0741,0.039,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_18_23.983030.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0807,0.049,0.0807,0.0,0.0,0.0,0.0097,0.0337
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_18_53.976881.jpg,unknown,0.0343,0.0343,0.0248,0.0,0.0,0.0,0.013,0.0
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_19_28.572387.jpg,unknown,0.0559,0.049,0.0559,0.0179,0.0247,0.0,0.013,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_19_44.402927.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0932,0.0539,0.0932,0.0357,0.037,0.039,0.0162,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_20_14.730235.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1677,0.0392,0.1677,0.0,0.0494,0.026,0.013,0.0096
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_20_47.565871.jpg,unknown,0.0745,0.049,0.0745,0.0,0.037,0.0,0.0065,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_21_21.147414.jpg,unknown,0.0745,0.0343,0.0745,0.0,0.037,0.0,0.0065,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_21_50.475113.jpg,unknown,0.0617,0.0196,0.0373,0.0,0.0617,0.0,0.013,0.0096
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_22_13.770858.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.049,0.1056,0.0,0.037,0.0,0.013,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2023-03-02 10_22_47.863626.jpg,unknown,0.0649,0.0539,0.0435,0.0268,0.0,0.0649,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_33_25.002899.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.0392,0.1056,0.0,0.0,0.0,0.013,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_33_40.267158.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1429,0.0392,0.1429,0.0357,0.037,0.0,0.0162,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_34_12.593234.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0807,0.049,0.0807,0.0268,0.0,0.0,0.0097,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_34_25.791759.jpg,unknown,0.0621,0.0245,0.0621,0.0357,0.037,0.0,0.0065,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_34_44.320450.jpg,unknown,0.049,0.049,0.0373,0.0268,0.0,0.0,0.013,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_35_01.883004.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1677,0.0343,0.1677,0.0,0.0247,0.0,0.0195,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_35_21.245969.jpg,93000006_Coxinhas_das_Asas_Congelado,0.2236,0.0,0.2236,0.0,0.0,0.0,0.013,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_46_27.212448.jpg,unknown,0.0745,0.0441,0.0745,0.0357,0.0494,0.0,0.0097,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_46_53.708942.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0807,0.0343,0.0807,0.0,0.0494,0.0,0.0162,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_47_36.465819.jpg,unknown,0.0392,0.0392,0.0373,0.0,0.0,0.0,0.0,0.0096
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_48_57.616476.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1366,0.0441,0.1366,0.0,0.0494,0.0,0.013,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_49_09.981523.jpg,93000006_Coxinhas_das_Asas_Congelado,0.2112,0.0392,0.2112,0.0,0.0247,0.0,0.0097,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_49_24.745076.jpg,unknown,0.0559,0.0343,0.0559,0.0,0.0247,0.0,0.013,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_49_38.975778.jpg,93000006_Coxinhas_das_Asas_Congelado,0.087,0.0245,0.087,0.0,0.037,0.0,0.0097,0.0096
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_50_06.735121.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.0539,0.1056,0.0,0.0494,0.0,0.013,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_50_48.194058.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.0441,0.1056,0.0,0.0494,0.0,0.013,0.0288
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_01.291031.jpg,93000006_Coxinhas_das_Asas_Congelado,0.118,0.0588,0.118,0.0,0.037,0.0,0.0195,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_29.220513.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1366,0.0245,0.1366,0.0,0.0247,0.0,0.0097,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_42.117636.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1242,0.0294,0.1242,0.0,0.0,0.0,0.013,0.0337
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_45.948771.jpg,93000006_Coxinhas_das_Asas_Congelado,0.1056,0.0245,0.1056,0.0,0.0494,0.0,0.0195,0.0192
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_47.915570.jpg,unknown,0.0373,0.0294,0.0373,0.0,0.0,0.0,0.0195,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_49.781988.jpg,unknown,0.0683,0.0441,0.0683,0.0,0.0247,0.0,0.026,0.024
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_51.681333.jpg,unknown,0.0196,0.0196,0.0,0.0,0.0,0.0,0.013,0.0144
93000006_Coxinhas_das_Asas_Congelado,TesteTempoPosicao2025-02-05 15_51_55.812934.jpg,93000006_Coxinhas_das_Asas_Congelado,0.0807,0.0343,0.0807,0.0,0.037,0.0,0.0195,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_32_26.813868.jpg,93000025_File_de_Peito_Congelado,0.2679,0.0196,0.0,0.2679,0.0,0.0649,0.0357,0.0096
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_32_32.092522.jpg,93000025_File_de_Peito_Congelado,0.2143,0.0196,0.0,0.2143,0.0,0.0649,0.0519,0.0096
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_32_34.012711.jpg,93000025_File_de_Peito_Congelado,0.2679,0.0196,0.0,0.2679,0.0,0.0519,0.0195,0.0192
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_32_34.012721.jpg,93000025_File_de_Peito_Congelado,0.3125,0.0196,0.0,0.3125,0.0,0.0649,0.0325,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_32_35.915259.jpg,93000025_File_de_Peito_Congelado,0.25,0.0098,0.0,0.25,0.0,0.0779,0.0422,0.0096
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_27.569790.jpg,93000025_File_de_Peito_Congelado,0.25,0.0196,0.0311,0.25,0.037,0.039,0.0584,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_35.900308.jpg,93000025_File_de_Peito_Congelado,0.2768,0.0147,0.0,0.2768,0.0,0.1039,0.026,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_37.766830 - Copia.jpg,93000025_File_de_Peito_Congelado,0.2679,0.0098,0.0,0.2679,0.0,0.0519,0.026,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_37.766830.jpg,93000025_File_de_Peito_Congelado,0.2679,0.0098,0.0,0.2679,0.0,0.0519,0.026,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_39.632885.jpg,93000025_File_de_Peito_Congelado,0.1964,0.0,0.0186,0.1964,0.0,0.0519,0.0617,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_41.565916.jpg,93000025_File_de_Peito_Congelado,0.2143,0.0196,0.0,0.2143,0.0,0.039,0.0325,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_43.465994.jpg,93000025_File_de_Peito_Congelado,0.125,0.0147,0.0,0.125,0.0,0.0,0.026,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_33_47.665639.jpg,93000025_File_de_Peito_Congelado,0.1786,0.0196,0.0,0.1786,0.0,0.039,0.0097,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_35_59.157551.jpg,93000025_File_de_Peito_Congelado,0.1786,0.0245,0.0,0.1786,0.0,0.0649,0.0227,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_36_21.051012.jpg,93000025_File_de_Peito_Congelado,0.1696,0.0294,0.0,0.1696,0.0,0.0779,0.0325,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_37_04.021213 - Copia.jpg,93000025_File_de_Peito_Congelado,0.1786,0.0147,0.0186,0.1786,0.0247,0.039,0.0325,0.0192
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_37_04.021213.jpg,93000025_File_de_Peito_Congelado,0.1786,0.0147,0.0186,0.1786,0.0247,0.0,0.0325,0.0192
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_37_52.447389.jpg,93000025_File_de_Peito_Congelado,0.1696,0.0196,0.0,0.1696,0.0,0.0779,0.039,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_15.395857 - Copia.jpg,93000025_File_de_Peito_Congelado,0.2054,0.0147,0.0,0.2054,0.0,0.0779,0.0195,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_15.395857.jpg,93000025_File_de_Peito_Congelado,0.2054,0.0147,0.0,0.2054,0.0,0.0779,0.0195,0.024
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_24.761764.jpg,93000025_File_de_Peito_Congelado,0.1696,0.0147,0.0,0.1696,0.0,0.0519,0.0292,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_27.526614.jpg,93000025_File_de_Peito_Congelado,0.3214,0.0196,0.0,0.3214,0.0,0.0519,0.0682,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_40.558450 - Copia.jpg,93000025_File_de_Peito_Congelado,0.1518,0.0,0.0,0.1518,0.0,0.0,0.0357,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_38_40.558450.jpg,93000025_File_de_Peito_Congelado,0.1518,0.0,0.0,0.1518,0.0,0.0,0.0357,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_39_05.017964.jpg,93000025_File_de_Peito_Congelado,0.2589,0.0294,0.0,0.2589,0.0,0.026,0.0325,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_39_20.450654.jpg,93000025_File_de_Peito_Congelado,0.25,0.0147,0.0,0.25,0.0,0.0519,0.0195,0.0096
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_39_42.144079.jpg,93000025_File_de_Peito_Congelado,0.1875,0.0196,0.0311,0.1875,0.0,0.0649,0.0162,0.0144
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_39_46.508923.jpg,93000025_File_de_Peito_Congelado,0.1696,0.0343,0.0,0.1696,0.0,0.0909,0.013,0.0192
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_40_03.807583.jpg,93000025_File_de_Peito_Congelado,0.1696,0.0245,0.0,0.1696,0.0,0.0649,0.0357,0.0096
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_40_08.772720.jpg,93000025_File_de_Peito_Congelado,0.1339,0.0147,0.0,0.1339,0.0,0.0779,0.0195,0.0
93000025_File_de_Peito_Congelado,TesteTempoPosicao2024-11-11 12_40_19.469910.jpg,93000025_File_de_Peito_Congelado,0.3661,0.0098,0.0,0.3661,0.0,0.0519,0.0325,0.0144
